N,country,year,Q.balance,UV.balance,energy_adequacy,gdp,polyunsatFA_percentseafood,calories_percentseafood,protein_percentseafood,vitaminA_percentseafood,thiamin_percentseafood,niacin_percentseafood,riboflavin_percentseafood,B6_percentseafood,iron_percentseafood,calcium_percentseafood,zinc_percentseafood,native,fishmeal,habitat,spp_farmed,prod_ratio,vitamins_all
82,Guam,2011,0.912548789,0.01224336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090909091,0.615095694,NA
83,Guatemala,2011,0.94055138,0.962822675,1,0.046304765,0.001573449,0.003469559,0.006863146,2.77E-05,0.0029227,0.003946359,0.002733735,0.004461555,0.004175937,0.002619391,0.00482181,0.444444444,0,0.588235294,0.204545455,0.711261602,0.003213645
84,Guinea,2011,0.990019715,0.486208908,1,0.004245683,0.036516862,0.038085146,0.107692327,0.009319514,0.110555365,0.14420088,0.056380736,0.079133198,0.076985076,0.092886462,0.070117494,NA,NA,NA,0.022727273,0.26875575,0.079947341
85,Guinea-Bissau,2011,0.956981701,0.962898263,1,0.005968526,0.003181636,0.004278571,0.012530032,0.000907795,0.011668185,0.016501813,0.004993806,0.009254014,0.005092343,0.023917514,0.009613634,NA,NA,NA,NA,NA,0.010243638
86,Guyana,2011,0.91805318,0.93760806,1,0.040899534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102272727,0.323660043,NA
87,Haiti,2011,0.887193918,0.702824265,0.333333333,0.007080134,0.01346144,0.027593404,0.057486428,0.003206095,0.02638158,0.036330533,0.025985421,0.049344045,0.034487282,0.018825577,0.027921883,NA,NA,NA,0.045454545,0.480025442,0.027810302
88,Honduras,2011,0.968076285,0.943297023,1,0.0285887,0.005623233,0.007414185,0.014675991,0.000158471,0.006636046,0.008265029,0.006574715,0.009657158,0.011850668,0.00513852,0.012006847,0.444444444,0,0,0.056818182,0.807123313,0.007535932
89,Hungary,2011,0.862183444,0.692802177,1,0.164689518,0.003565509,0.009399155,0.017257985,0.007525748,0.018209788,0.022477137,0.008816256,0.018293921,0.024137316,0.003779097,0.019037368,NA,NA,NA,0.136363636,0.759954679,0.015284579
90,Iceland,2011,0.895340459,0.622203387,1,0.29169073,0.214982553,0.354919308,0.429052575,0.128393647,0.600974415,0.585667279,0.217992324,0.518316077,0.680391293,0.094996144,0.665843385,0.266666667,0.4,0.735294118,0.136363636,0.339258288,0.436571821
91,India,2011,0.888796787,0.186603822,1,0.030477834,0.005056606,0.006470715,0.012048473,0.010586415,0.007827894,0.006282225,0.007908442,0.001243494,0.024604903,0.039864059,0.011934177,1,0,0,0.295454545,0.69507645,0.013781451
